Iterations,Average Moves L,Average Moves O,Average Moves R,R Moves w/ Full Restart
2830,460,200,450,462.9
2835,281.4,280,407.5,225
2840,521.2,222.5,142.5,317.5
2845,560,160,172.5,315.4
2850,590,202.5,215,450
2855,392.7,140,255,177.9
2860,470,140,262.5,490
2865,282.7,220,252.5,280
2870,522.7,260,312.5,235
2875,380,170,225,490
2880,352.7,210,372.5,370
2885,411.4,210,165,475
2890,320,240,342.5,502.5
2895,420,160,280,265
2900,441.2,300,252.5,382.5
2905,344.2,262.5,475,175.4
2910,310,260,342.5,280
2915,342.6,310,235,260
2920,632.7,212.5,247.5,380
2925,421.2,200,252.5,305
2930,382.7,260,222.5,340
2935,600,200,245,205
2940,431.5,210,215,320
2945,332.7,230,235,115.4
2950,432.7,270,252.5,335
2955,370,260,255,245.4
2960,301.5,250,267.5,162.5
2965,454.2,170,297.5,275.5
2970,502.6,190,252.5,387.5
2975,452.7,240,162.5,355
2980,280,250,125,400
2985,331.4,310,155,235.5
2990,410,200,307.5,402.5
2995,432.7,230,257.5,475
3000,202.7,250,247.5,237.9
3005,305.3,180,272.5,260
3010,291.4,220,285,392.5
3015,461.5,142.5,175,197.9
3020,501.2,222.5,265,257.9
3025,390,290,472.5,470
3030,383.9,132.5,352.5,490
3035,172.7,250,327.5,400
3040,382.7,200,342.5,227.5
3045,191.4,200,162.5,395
3050,342.6,190,277.5,430
3055,335.3,270,267.5,335
3060,362.7,200,235,187.5
3065,422.9,250,147.5,250
3070,354.2,212.5,85,242.5
3075,404.1,250,122.5,200
3080,550,222.5,335,227.5
3085,396.6,282.5,292.5,392.5
3090,256.9,180,262.5,337.5
3095,451.4,260,277.5,445
3100,462.9,170,277.5,540
3105,422.6,270,157.5,207.5
3110,401.4,200,400,327.5
3115,444.3,220,262.5,280
3120,481.2,330,237.5,402.5
3125,511.4,260,255,332.5
3130,351.2,270,342.5,232.5
3135,282.8,242.5,235,642.5
3140,315.3,242.5,212.5,287.5
3145,461.2,140,217.5,362.5
3150,262.7,240,330,320
3155,352.7,250,360,380
